step,country,latitude,longitude,observed_hosts,activation_step,infected_no_containment,infected_containment
7,Russian Federation,61.524,105.3188,5,8,0,0
7,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
7,Belgium,50.5039,4.4699,5,9,0,0
7,Spain,40.4637,-3.7492,5,10,0,0
7,Korea Republic of,35.9078,127.7669,5,10,0,0
7,India,20.5937,78.9629,4,11,0,0
7,South Africa,-30.5595,22.9375,4,12,0,0
7,Netherlands,52.1326,5.2913,4,13,0,0
7,Venezuela,6.4238,-66.5897,3,14,0,0
7,Egypt,26.8206,30.8025,3,14,0,0
7,Viet Nam,14.0583,108.2772,3,15,0,0
7,Sweden,60.1282,18.6435,3,16,0,0
7,Brazil,-14.235,-51.9253,3,16,0,0
7,Latvia,56.8796,24.6032,2,17,0,0
7,Thailand,15.87,100.9925,2,18,0,0
7,New Zealand,-40.9006,174.886,2,19,0,0
7,Austria,47.5162,14.5501,2,20,0,0
7,Mexico,23.6345,-102.5528,2,20,0,0
7,Colombia,4.5709,-74.2973,2,21,0,0
7,Turkey,38.9637,35.2433,2,22,0,0
7,Norway,60.472,8.4689,1,22,0,0
7,Saudi Arabia,23.8859,45.0792,1,23,0,0
7,Hong Kong,22.3193,114.1694,1,24,0,0
7,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
7,Kazakhstan,48.0196,66.9237,1,26,0,0
7,Serbia,44.0165,21.0059,1,26,0,0
7,Israel,31.0461,34.8516,1,27,0,0
7,Denmark,56.2639,9.5018,1,28,0,0
7,Moldova Republic of,47.4116,28.3699,1,28,0,0
7,Greece,39.0742,21.8243,1,28,0,0
7,Dominican Republic,18.7357,-70.1627,1,28,0,0
7,Lithuania,55.1694,23.8813,1,28,0,0
7,Ireland,53.1424,-7.6921,1,28,0,0
7,Chile,-35.6751,-71.543,1,28,0,0
8,United States,37.0902,-95.7129,142,0,136,43
8,China,35.8617,104.1954,29,2,24,5
8,Japan,36.2048,138.2529,18,4,8,2
8,Germany,51.1657,10.4515,9,2,7,1
8,United Kingdom,55.3781,-3.436,8,3,5,1
8,France,46.2276,2.2137,8,4,4,1
8,Canada,56.1304,-106.3468,7,4,3,1
8,Indonesia,-0.7893,113.9213,6,5,2,0
8,Italy,41.8719,12.5674,6,6,1,0
8,Australia,-25.2744,133.7751,6,7,0,0
8,Russian Federation,61.524,105.3188,5,8,0,0
8,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
8,Belgium,50.5039,4.4699,5,9,0,0
8,Spain,40.4637,-3.7492,5,10,0,0
8,Korea Republic of,35.9078,127.7669,5,10,0,0
8,India,20.5937,78.9629,4,11,0,0
8,South Africa,-30.5595,22.9375,4,12,0,0
8,Netherlands,52.1326,5.2913,4,13,0,0
8,Venezuela,6.4238,-66.5897,3,14,0,0
8,Egypt,26.8206,30.8025,3,14,0,0
8,Viet Nam,14.0583,108.2772,3,15,0,0
8,Sweden,60.1282,18.6435,3,16,0,0
8,Brazil,-14.235,-51.9253,3,16,0,0
8,Latvia,56.8796,24.6032,2,17,0,0
8,Thailand,15.87,100.9925,2,18,0,0
8,New Zealand,-40.9006,174.886,2,19,0,0
8,Austria,47.5162,14.5501,2,20,0,0
8,Mexico,23.6345,-102.5528,2,20,0,0
8,Colombia,4.5709,-74.2973,2,21,0,0
8,Turkey,38.9637,35.2433,2,22,0,0
8,Norway,60.472,8.4689,1,22,0,0
8,Saudi Arabia,23.8859,45.0792,1,23,0,0
8,Hong Kong,22.3193,114.1694,1,24,0,0
8,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
8,Kazakhstan,48.0196,66.9237,1,26,0,0
8,Serbia,44.0165,21.0059,1,26,0,0
8,Israel,31.0461,34.8516,1,27,0,0
8,Denmark,56.2639,9.5018,1,28,0,0
8,Moldova Republic of,47.4116,28.3699,1,28,0,0
8,Greece,39.0742,21.8243,1,28,0,0
8,Dominican Republic,18.7357,-70.1627,1,28,0,0
8,Lithuania,55.1694,23.8813,1,28,0,0
8,Ireland,53.1424,-7.6921,1,28,0,0
8,Chile,-35.6751,-71.543,1,28,0,0
9,United States,37.0902,-95.7129,142,0,139,50
9,China,35.8617,104.1954,29,2,26,7
9,Japan,36.2048,138.2529,18,4,12,2
9,Germany,51.1657,10.4515,9,2,8,2
9,United Kingdom,55.3781,-3.436,8,3,7,1
9,France,46.2276,2.2137,8,4,5,1
9,Canada,56.1304,-106.3468,7,4,5,1
9,Indonesia,-0.7893,113.9213,6,5,3,1
9,Italy,41.8719,12.5674,6,6,2,0
9,Australia,-25.2744,133.7751,6,7,1,0
9,Russian Federation,61.524,105.3188,5,8,0,0
9,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
9,Belgium,50.5039,4.4699,5,9,0,0
9,Spain,40.4637,-3.7492,5,10,0,0
9,Korea Republic of,35.9078,127.7669,5,10,0,0
9,India,20.5937,78.9629,4,11,0,0
9,South Africa,-30.5595,22.9375,4,12,0,0
9,Netherlands,52.1326,5.2913,4,13,0,0
9,Venezuela,6.4238,-66.5897,3,14,0,0
9,Egypt,26.8206,30.8025,3,14,0,0
9,Viet Nam,14.0583,108.2772,3,15,0,0
9,Sweden,60.1282,18.6435,3,16,0,0
9,Brazil,-14.235,-51.9253,3,16,0,0
9,Latvia,56.8796,24.6032,2,17,0,0
9,Thailand,15.87,100.9925,2,18,0,0
9,New Zealand,-40.9006,174.886,2,19,0,0
9,Austria,47.5162,14.5501,2,20,0,0
9,Mexico,23.6345,-102.5528,2,20,0,0
9,Colombia,4.5709,-74.2973,2,21,0,0
9,Turkey,38.9637,35.2433,2,22,0,0
9,Norway,60.472,8.4689,1,22,0,0
9,Saudi Arabia,23.8859,45.0792,1,23,0,0
9,Hong Kong,22.3193,114.1694,1,24,0,0
9,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
9,Kazakhstan,48.0196,66.9237,1,26,0,0
9,Serbia,44.0165,21.0059,1,26,0,0
9,Israel,31.0461,34.8516,1,27,0,0
9,Denmark,56.2639,9.5018,1,28,0,0
9,Moldova Republic of,47.4116,28.3699,1,28,0,0
9,Greece,39.0742,21.8243,1,28,0,0
9,Dominican Republic,18.7357,-70.1627,1,28,0,0
9,Lithuania,55.1694,23.8813,1,28,0,0
9,Ireland,53.1424,-7.6921,1,28,0,0
9,Chile,-35.6751,-71.543,1,28,0,0
10,United States,37.0902,-95.7129,142,0,141,57
10,China,35.8617,104.1954,29,2,28,8
10,Japan,36.2048,138.2529,18,4,15,3
10,Germany,51.1657,10.4515,9,2,9,2
10,United Kingdom,55.3781,-3.436,8,3,7,2
10,France,46.2276,2.2137,8,4,7,1
10,Canada,56.1304,-106.3468,7,4,6,1
10,Indonesia,-0.7893,113.9213,6,5,4,1
10,Italy,41.8719,12.5674,6,6,3,1
10,Australia,-25.2744,133.7751,6,7,2,0
10,Russian Federation,61.524,105.3188,5,8,1,0
10,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,1,0
10,Belgium,50.5039,4.4699,5,9,0,0
10,Spain,40.4637,-3.7492,5,10,0,0
10,Korea Republic of,35.9078,127.7669,5,10,0,0
10,India,20.5937,78.9629,4,11,0,0
10,South Africa,-30.5595,22.9375,4,12,0,0
10,Netherlands,52.1326,5.2913,4,13,0,0
10,Venezuela,6.4238,-66.5897,3,14,0,0
10,Egypt,26.8206,30.8025,3,14,0,0
10,Viet Nam,14.0583,108.2772,3,15,0,0
10,Sweden,60.1282,18.6435,3,16,0,0
10,Brazil,-14.235,-51.9253,3,16,0,0
10,Latvia,56.8796,24.6032,2,17,0,0
10,Thailand,15.87,100.9925,2,18,0,0
10,New Zealand,-40.9006,174.886,2,19,0,0
10,Austria,47.5162,14.5501,2,20,0,0
10,Mexico,23.6345,-102.5528,2,20,0,0
10,Colombia,4.5709,-74.2973,2,21,0,0
10,Turkey,38.9637,35.2433,2,22,0,0
10,Norway,60.472,8.4689,1,22,0,0
10,Saudi Arabia,23.8859,45.0792,1,23,0,0
10,Hong Kong,22.3193,114.1694,1,24,0,0
10,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
10,Kazakhstan,48.0196,66.9237,1,26,0,0
10,Serbia,44.0165,21.0059,1,26,0,0
10,Israel,31.0461,34.8516,1,27,0,0
10,Denmark,56.2639,9.5018,1,28,0,0
10,Moldova Republic of,47.4116,28.3699,1,28,0,0
10,Greece,39.0742,21.8243,1,28,0,0
10,Dominican Republic,18.7357,-70.1627,1,28,0,0
10,Lithuania,55.1694,23.8813,1,28,0,0
10,Ireland,53.1424,-7.6921,1,28,0,0
10,Chile,-35.6751,-71.543,1,28,0,0
11,United States,37.0902,-95.7129,142,0,141,62
11,China,35.8617,104.1954,29,2,28,10
11,Japan,36.2048,138.2529,18,4,16,4
11,Germany,51.1657,10.4515,9,2,9,3
11,United Kingdom,55.3781,-3.436,8,3,8,2
11,France,46.2276,2.2137,8,4,7,2
11,Canada,56.1304,-106.3468,7,4,6,1
11,Indonesia,-0.7893,113.9213,6,5,5,1
11,Italy,41.8719,12.5674,6,6,4,1
11,Australia,-25.2744,133.7751,6,7,3,1
11,Russian Federation,61.524,105.3188,5,8,1,0
11,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,1,0
11,Belgium,50.5039,4.4699,5,9,1,0
11,Spain,40.4637,-3.7492,5,10,0,0
11,Korea Republic of,35.9078,127.7669,5,10,0,0
11,India,20.5937,78.9629,4,11,0,0
11,South Africa,-30.5595,22.9375,4,12,0,0
11,Netherlands,52.1326,5.2913,4,13,0,0
11,Venezuela,6.4238,-66.5897,3,14,0,0
11,Egypt,26.8206,30.8025,3,14,0,0
11,Viet Nam,14.0583,108.2772,3,15,0,0
11,Sweden,60.1282,18.6435,3,16,0,0
11,Brazil,-14.235,-51.9253,3,16,0,0
11,Latvia,56.8796,24.6032,2,17,0,0
11,Thailand,15.87,100.9925,2,18,0,0
11,New Zealand,-40.9006,174.886,2,19,0,0
11,Austria,47.5162,14.5501,2,20,0,0
11,Mexico,23.6345,-102.5528,2,20,0,0
11,Colombia,4.5709,-74.2973,2,21,0,0
11,Turkey,38.9637,35.2433,2,22,0,0
11,Norway,60.472,8.4689,1,22,0,0
11,Saudi Arabia,23.8859,45.0792,1,23,0,0
11,Hong Kong,22.3193,114.1694,1,24,0,0
11,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
11,Kazakhstan,48.0196,66.9237,1,26,0,0
11,Serbia,44.0165,21.0059,1,26,0,0
11,Israel,31.0461,34.8516,1,27,0,0
11,Denmark,56.2639,9.5018,1,28,0,0
11,Moldova Republic of,47.4116,28.3699,1,28,0,0
11,Greece,39.0742,21.8243,1,28,0,0
11,Dominican Republic,18.7357,-70.1627,1,28,0,0
11,Lithuania,55.1694,23.8813,1,28,0,0
11,Ireland,53.1424,-7.6921,1,28,0,0
11,Chile,-35.6751,-71.543,1,28,0,0
12,United States,37.0902,-95.7129,142,0,142,66
12,China,35.8617,104.1954,29,2,29,11
12,Japan,36.2048,138.2529,18,4,17,5
12,Germany,51.1657,10.4515,9,2,9,3
12,United Kingdom,55.3781,-3.436,8,3,8,3
12,France,46.2276,2.2137,8,4,8,2
